Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
56,,0.00999594679948554,0.00138315478076926,0.010991825339467,-0.00527138257021323,-0.00143577116576566,0.0050055913879803,0.0279033940686493,0.00262823413841152,0.0109641547292679,0.0741159894481349,-0.0133896220846469,-0.00597533093676281,0.0068535341603315,-0.00574420421217075,-0.0129430991275845,0.0241840102385278,-0.058689701246417
57,,0.00956034726844566,0.00209587624114492,0.0107246645174038,-0.00641218810807084,-0.00194322774375436,0.00341287254267453,0.0289581853888271,0.00340055164190455,0.0124249395473955,0.0796691760043972,-0.0140570063396995,-0.0049033927808344,0.00871983576545878,-0.00588237461496512,-0.0131398106289436,0.0268567182914315,-0.0584476715856822
58,,0.0123545588943847,0.00358783983153165,0.0112866234879504,-0.00491622612918225,-0.00187703775532106,0.00559948655063667,0.03031831103853,0.007205628122529,0.0126454353689997,0.0834550710726811,-0.0117933110962103,-0.00343551350424792,0.0105753495000363,-0.00574420421217075,-0.0127981538107935,0.0291068186607562,-0.0598927310306583
59,,0.0176667482973106,0.00703741169975039,0.0156164712938,-0.00252699188951829,0.00285554641765988,0.0078265934105983,0.0321780746820012,0.00790259757690093,0.0154475697685529,0.0920402164202457,-0.010007607278637,-0.00149443630297215,0.0124848025873629,-0.00179253069225209,-0.0104376157944841,0.0286499454893198,-0.0589032568294184
60,,0.019207283224159,0.00912806131685266,0.0176063587960627,-0.002925197596129,0.00148761999003841,0.00873093377191592,0.0319560133514375,0.00958851017598938,0.0174687814665912,0.0992715192059188,-0.00979115833105236,-0.00156203600649921,0.0125818934223118,-0.00270445535069489,-0.0128395667584481,0.0286956328064634,-0.0625835313764759
61,,0.0206946962569783,0.010363445181504,0.0180946182294884,-0.00164448194513801,0.00563552593185856,0.0108905525452121,0.0341766266570749,0.00909874785670116,0.0172390983190868,0.104930094704125,-0.009331204317435,0.000939153024000333,0.0157535273639731,-0.00183858749318363,-0.00877074465138839,0.0280445885371665,-0.0612950793590342
62,,0.0217890072739811,0.0120644737336008,0.019725220488287,-0.00148304719921477,0.00671662907626911,0.0135360855424997,0.0331588455586578,0.00760120538041572,0.0182221421904054,0.108343075054762,-0.0102150375200722,0.000243841787722443,0.0168646780306096,-0.00227152142193926,-0.0100441927917659,0.0293466770757604,-0.0638435093161843
63,,0.0254650423408056,0.0151814422536442,0.0199555315417897,3.44394124636961e-05,0.00684900905313572,0.0147778663371449,0.0336677361078663,0.00923060694266335,0.0223288768677833,0.117860507196443,-0.00811367898727152,0.00247463200411401,0.0202520693832683,0.000547154795065627,-0.00690716200693348,0.0345436094008508,-0.0637082574469501
64,,0.0250294428097658,0.013157313306177,0.0199647439839297,-0.00221488471406674,0.00733440230164655,0.0118083905238629,0.0356385304166195,0.011274422775078,0.0215663288180688,0.122781360101044,-0.0089433999530126,0.00139303674768169,0.0200147362311713,-0.000954296915299702,-0.00797354540903828,0.0337783468386947,-0.0655519539801954
65,,0.0308728511529842,0.017671215888557,0.0285138902899478,0.00455461229831428,0.0146263326940484,0.01641107803445,0.0419302681159253,0.0165299492012871,0.0270419750545727,0.128707461374953,-0.00301811001288319,0.00636644350716919,0.0260883073507471,0.00533706209193681,-0.000343209803687016,0.0386668897730654,-0.0602130644051603
66,,0.0320096596852103,0.0183364225849076,0.0297944197474225,0.00330618359650794,0.0109969149949557,0.0171399493704375,0.0448355705241342,0.0167277378302305,0.0290264374490103,0.138419457717146,-0.00372156909253327,0.00668512782379656,0.0249016415902616,0.0053002166511916,-0.00113005580912358,0.0379587363573388,-0.0607042422460637
67,,0.0303947541067208,0.0195528005439489,0.0267174640726272,0.00234833743736343,0.0106990600470059,0.0158846709584591,0.0430775849905045,0.015286706390786,0.0288978148864079,0.139740872912286,-0.00455129005827435,0.0055745612658528,0.0237041879592263,0.00520810304932865,-0.00181336944542371,0.0385640933094922,-0.0634591092667818
68,,0.0357494410248701,0.0228788340257026,0.0338755316154892,0.00690079727239866,0.0158729108095422,0.019637008577061,0.0486476233654783,0.0205328143108549,0.0324257480320748,0.145731828919699,-0.00291890424524027,0.0085489482210415,0.0276201849688286,0.00863472903862873,0.00166531815755863,0.0420934385588393,-0.0601134051330932
69,,0.0330614731869896,0.0209117227950654,0.029665445557461,0.00489900642295048,0.0134459445669879,0.0204333679997139,0.0470469312743313,0.0210885061731243,0.0330412988673864,0.149906852389005,-0.00237778187627867,0.00640507190918468,0.0262285496678955,0.00734513861254805,-0.000477801883564363,0.0390894974566443,-0.061366264553368
70,,0.0394573492281124,0.0254731401414704,0.0363352536668974,0.00758958552167105,0.0192044735606849,0.0214861821516958,0.0526262222047453,0.0281806412966645,0.0377727717059761,0.166250245231961,0.00318675981787617,0.0107797384374329,0.0300690315836486,0.0132864659327055,0.00482305541621828,0.0457370021010455,-0.0593588420731549
71,,0.0414866055800301,0.0258437553008658,0.0372472854387679,0.00839675925128726,0.0192155052254238,0.0231058962316679,0.0538845697446064,0.027502508854573,0.041300704851643,0.173805821685153,-0.000438760054166432,0.0114171070706877,0.030942849098188,0.0152484856523854,0.0046677568625137,0.0489008488132434,-0.0599283236278252
72,,0.0454176257381951,0.0292268064994495,0.0408769876419695,0.0137779174487284,0.0243783243232212,0.026628774355607,0.0569194079289775,0.0320610658264103,0.0444887069390035,0.181774847064432,0.00537830541217066,0.0139086390006833,0.0336290288651052,0.0165657101590249,0.00603438413511396,0.0519504772325821,-0.059173760567887
73,,0.0471493994835491,0.0261858616018462,0.0381685296527784,0.0105061732646842,0.0219072314217113,0.0247256103116398,0.0557350808326375,0.0329087313790247,0.043092233402177,0.187765803071845,0.00671307392227586,0.0139858958047141,0.0341252709103993,0.0172565621729967,0.00631392153178205,0.0514364949147162,-0.0566182120913034
