Time,Label,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean(background)
72,,-0.0192220787053233,-0.0151445547842229,-0.0263563820208008,-0.0302707765312403,-0.0265479813516704,-0.00438178096029789,-0.0122431928054311,0.00743865060684645,-0.015569369499606,-0.0336537184876539,-0.0194186314677607,-0.0301698097568643,-0.0249187816189955,-0.0152661561545196,-0.00792119428266385
73,,-0.0205610599542513,-0.0160230159473636,-0.0276610853214093,-0.0322094858190533,-0.0276570856628088,-0.00826013136011479,-0.0117003495538213,0.00672962462842091,-0.017521287302277,-0.0344897647864768,-0.0211949134709097,-0.0295182006942488,-0.024447625109564,-0.0165939333106321,-0.00817162709763027
74,,-0.0201987896541904,-0.0147081055401377,-0.0260316779708048,-0.0298696251991094,-0.0267485600465832,-0.00543824836974556,-0.00801924996276044,0.0105776358744093,-0.0153133843870654,-0.0341754734894701,-0.0192511251178184,-0.0261723853625069,-0.0251089408666675,-0.014570076087352,-0.00390659258664132
75,,-0.0194919387533595,-0.0134152692399363,-0.0263937346592498,-0.029983121673566,-0.0272937130130748,-0.00452243996693494,-0.00920827094180846,0.0100728639182301,-0.0141869663730899,-0.035619660671932,-0.0168095525610581,-0.0283311760008993,-0.0246508470138074,-0.012276731377508,-0.00526898186227677
76,,-0.0221984627448621,-0.0152084813981654,-0.0292330426900514,-0.0354182845106758,-0.0282968884633103,-0.00625401110152135,-0.0125880007952707,0.0081284056227814,-0.017655752565308,-0.0391098861634563,-0.0213578636481338,-0.0353514813123349,-0.0274514355390367,-0.0173828240534222,-0.0112897980869859
77,,-0.0232816804248763,-0.017018381581305,-0.0288968689440099,-0.0325679987297459,-0.0281416138597509,-0.00565626611086307,-0.0115428746476634,0.00966908271359342,-0.016449407062686,-0.0383662206711331,-0.021984739412158,-0.0361136361579516,-0.0283763316824715,-0.0167825656952464,-0.00776519882764998
78,,-0.0211861881297123,-0.0165484679909709,-0.0291554953645756,-0.0329407244475845,-0.0274053753793149,-0.00301364711097256,-0.0107582880792332,0.00862835983833792,-0.0152301996653394,-0.0368583496986586,-0.0199820781606069,-0.0366717349686147,-0.0268680452849271,-0.013465292520187,-0.00562529460074819
79,,-0.0217437821927766,-0.0158924255302075,-0.0314832346514012,-0.0343709654101779,-0.0283157808333559,-0.00558842845139565,-0.0124983363284293,0.00815967548644528,-0.0183661634518562,-0.0307900117636146,-0.0225910677305895,-0.0351814963394787,-0.0272872514590294,-0.0162675904292692,-0.00833689247754732
80,,-0.0205539656477648,-0.0171267212985805,-0.0283104934214011,-0.0342008236898492,-0.0273523639529181,-0.000513249169088275,-0.010503144556235,0.00933974923669152,-0.015758205499428,-0.034269918122498,-0.0207694920104161,-0.0364224051582106,-0.0277626871145789,-0.0144353766239725,-0.00432055267060527
81,,-0.0204615553957401,-0.0170934335451878,-0.0320550954259172,-0.0360057472060479,-0.0300834863231507,0.00037838462919736,-0.0120586476841085,0.00809231801849492,-0.0172813377987437,-0.0371582924874218,-0.0219824166574389,-0.0398844139218341,-0.0305287421799076,-0.0156943428116132,-0.00650506841110447
82,,-0.0235019724613579,-0.0194064467756261,-0.0322763692080338,-0.0386372793465553,-0.0316904656797211,-0.00482287451363347,-0.0129815531592609,0.00615040494450712,-0.021031749374155,-0.0408231570142121,-0.0237405633064341,-0.0415247318761335,-0.0296772671751318,-0.0178528994982728,-0.00781169329474336
