 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11
242,110.721,174.191,150.771,166.017,130.749,162.434,181.336,168.631,143.429,181.594,238.189
243,111.591,175.933,150.999,166.577,130.644,161.485,183.073,171.798,145.369,186.353,240.061
244,112.243,177.495,151.128,165.907,138.728,162.098,182.760,170.951,145.443,189.029,240.931
245,112.755,176.872,150.972,166.637,137.387,159.937,182.555,170.493,145.845,192.326,241.912
246,112.400,178.300,151.084,167.434,131.010,159.346,182.181,170.758,145.083,193.268,241.829
247,112.226,176.632,150.856,167.164,128.766,160.378,181.894,171.510,146.620,195.284,242.111
248,112.116,178.797,150.443,167.565,130.442,159.153,181.658,172.310,147.736,195.401,242.845
249,112.407,179.593,150.810,167.781,134.600,160.740,189.667,174.315,148.359,195.747,243.728
250,112.865,178.788,150.439,167.591,139.371,162.432,188.309,173.694,147.393,196.147,243.742
251,113.223,178.956,150.351,168.030,137.698,164.760,185.989,173.134,147.032,195.843,243.166
252,112.470,178.721,150.166,169.323,142.545,167.276,187.556,175.229,148.373,196.607,243.644
253,112.263,179.489,149.924,169.870,133.872,170.496,187.596,176.059,147.926,195.921,244.110
254,112.292,179.778,149.871,170.146,142.911,172.086,187.133,176.334,148.659,196.944,244.420
255,111.322,178.194,150.144,171.017,134.115,172.406,187.743,176.527,148.648,197.643,244.831
256,111.210,177.251,150.301,171.226,132.840,172.771,187.695,176.319,148.890,197.732,245.267
257,111.287,176.525,149.765,171.868,137.623,172.329,186.600,175.741,147.610,193.998,244.852
258,111.181,175.578,149.847,171.228,139.193,171.848,186.188,174.918,147.788,193.414,245.088
259,111.813,174.648,149.797,171.123,135.434,172.011,186.553,174.441,148.208,192.578,244.876
260,112.507,173.297,149.405,170.922,129.486,171.620,186.281,174.077,147.886,189.831,244.048
261,112.287,172.560,149.697,171.427,129.035,174.169,187.980,174.832,150.129,189.865,244.938
262,112.800,171.920,149.614,170.918,136.078,177.671,188.184,174.809,150.891,186.567,245.118
263,113.450,173.823,149.483,170.112,135.284,179.220,187.339,174.665,150.546,183.414,245.154
264,112.926,178.841,149.025,168.708,137.815,179.387,187.194,174.561,154.946,181.331,244.777
265,112.531,179.461,149.022,168.359,139.419,179.996,188.331,174.703,153.409,181.146,244.917
266,112.940,176.192,148.653,168.099,141.792,180.891,187.970,173.853,152.035,181.055,245.036
267,112.663,175.815,148.782,168.519,143.072,181.456,189.141,174.202,152.301,178.507,245.257
268,112.387,177.848,148.633,168.120,143.591,182.030,189.441,174.617,152.186,177.950,244.868
269,112.719,178.816,148.965,168.056,138.256,183.584,190.523,174.630,152.430,175.536,245.615
270,112.173,179.207,148.787,168.556,139.518,184.896,191.297,174.278,152.654,176.292,245.947
271,112.016,179.100,149.029,167.857,137.647,185.424,192.066,174.083,154.471,177.438,245.920
272,111.205,175.842,149.087,168.797,140.165,185.755,193.816,175.588,154.149,175.407,245.934
273,112.053,174.319,149.184,168.491,138.229,185.297,194.401,175.582,153.616,173.641,246.718
274,112.705,176.497,149.154,168.911,140.685,186.165,195.444,174.612,153.456,173.818,247.067
275,113.426,175.501,149.463,169.758,141.774,187.537,196.312,174.779,156.597,172.063,247.183
276,113.731,175.365,149.192,169.326,147.232,187.886,196.246,173.570,155.044,171.929,246.939
277,113.362,175.522,149.239,168.617,147.541,187.960,197.231,175.372,154.713,169.399,247.628
278,113.317,174.475,149.275,169.380,143.515,189.174,198.472,175.561,155.631,170.746,247.570
279,113.239,172.154,149.075,170.379,144.299,189.760,198.406,175.419,159.683,170.346,247.269
280,113.674,168.658,148.805,170.288,142.014,190.976,198.817,176.162,163.423,172.099,247.363
281,113.747,167.209,148.889,169.485,139.570,191.631,198.129,176.999,164.408,169.099,247.661
282,112.934,170.255,148.791,169.328,143.807,191.319,200.126,177.015,164.663,170.184,247.731
283,112.731,171.358,148.822,169.657,149.786,192.969,199.992,176.674,162.370,172.352,247.883
284,112.657,172.277,148.894,169.470,149.629,193.926,200.044,177.217,161.565,169.953,247.656
285,112.666,173.757,148.784,169.238,144.561,194.502,200.907,178.183,163.390,169.570,247.988
286,113.284,174.627,148.928,169.313,146.368,194.716,201.169,175.977,162.953,168.975,247.943
287,113.036,174.751,148.425,170.026,145.428,194.394,201.200,176.152,163.385,166.826,247.434
288,113.155,176.750,148.353,170.172,148.295,194.461,201.606,175.536,161.941,167.379,247.762
289,113.330,175.839,148.671,170.423,146.402,195.047,202.054,174.019,161.840,166.037,247.837
290,113.445,174.761,148.344,170.430,148.604,195.490,202.726,176.681,163.048,166.729,247.970
291,113.685,172.349,148.235,169.582,151.330,195.864,202.085,176.903,165.627,166.851,247.670
292,113.896,169.048,148.480,169.741,148.001,196.014,201.788,176.712,166.393,165.224,247.745
293,113.390,165.873,148.277,169.475,145.303,195.886,202.125,177.118,166.270,165.326,247.862
